features:abstractness
	fasttext	bert_context_last_layer	bert_standalone	bert_vulic	mbert_context_last_layer	mbert_standalone	mbert_vulic	xlmr_context_last_layer	xlmr_standalone	xlmr_vulic	clip_context_avg	clip_standalone	mclip_context_avg	mclip_standalone	openclip_context_avg	openclip_standalone
xlmr_vulic	0,04364696915570454	0,10831566739593745	0,25660011975204233	0,24045950349023038	0,24740844727256928	0,17057919266160282	0,30551544811275044	0,06003705157006378	0,05759999573089225	-	0,0915396420746376	0,14622372847974308	0,13149827832765904	0,21346288097777333	0,11714060728932829	0,19363619393040143
clip_context_avg	0,07402048818387508	0,08017080779151653	0,24360634821713434	0,20728099490585605	0,19706083805891095	0,22879101753578868	0,22753833931168854	0,36411860759936243	0,33587182120827763	0,09154003370384423	-	0,06545707018690428	0,17620353746760808	0,1775935166813637	0,043514817817838614	0,19962412504817983
clip_standalone	0,09561820249714881	0,060612578919152504	0,2037359892190751	0,20249883554866233	0,17277464127367348	0,17239208747691404	0,2101315210344169	0,19960387114582057	0,19170880011927127	0,14622313546553345	0,06545699788724046	-	0,05000634315751984	0,11312270394869284	0,005658706441238004	0,21076496345752738
mclip_context_avg	0,10974362077533606	0,09543026904334406	0,2600728279577075	0,2158658660203452	0,213047941554816	0,2580866453363396	0,2393994790954862	0,4580752461004538	0,4351772160526889	0,13149788573516907	0,17620341776315518	0,050006437953394656	-	0,10524368207012813	0,04237341412148332	0,2182676124681856
mclip_standalone	0,16573652870877498	0,11809376570839758	0,26311501346608956	0,2251607104399429	0,216217206448308	0,27041481932394873	0,24505628388260958	0,3390133974175321	0,3312128412976003	0,21346271686292095	0,1775934886575944	0,11312267799412401	0,10524374131927172	-	0,09690402092860295	0,24522851887288644
openclip_context_avg	0,0981008308294482	0,07117266303721936	0,20961429618815342	0,19938199289436986	0,1803601534879673	0,16753246762870477	0,20480118586669227	0,14486557789867638	0,1398545166035161	0,1171410216696156	0,04351481190898032	0,005658622268045366	0,04237339835170517	0,09690411930585185	-	0,17833992219188188
openclip_standalone	0,07961485580092753	0,042400072185170945	0,03940803057141962	0,07892373179411305	0,009917645747386739	0,019214191630963384	0,02823549644362444	0,18346113892873883	0,18329377978558614	0,19363618761983792	0,19962404684329116	0,210764964612135	0,21826771193803052	0,2452286617300462	0,1783397872411464	-
features:basic+relations_wordnet_flag_same_hyponyms
	fasttext	bert_context_last_layer	bert_standalone	bert_vulic	mbert_context_last_layer	mbert_standalone	mbert_vulic	xlmr_context_last_layer	xlmr_standalone	xlmr_vulic	clip_context_avg	clip_standalone	mclip_context_avg	mclip_standalone	openclip_context_avg	openclip_standalone
fasttext	-	0,05860221168935997	0,16377073141176535	0,19583231037111248	0,1475428971221363	0,04100947746392458	0,19675378857921677	0,03194859396439231	0,032613537602607656	0,043851989449898876	0,07561306513833776	0,0963879204535738	0,11130507310984705	0,16654409326123332	0,09973870389477923	0,07956450396478842
bert_context_last_layer	0,05860220459993448	-	0,13792617186974399	0,21405535585371804	0,1169345186030516	0,03359571812144391	0,13272692780602058	0,0729273629709225	0,07233200877682044	0,10132278205666578	0,07467744483732397	0,05630798634719447	0,08996190270124904	0,1145453220371162	0,06651835101845216	0,04171325862002773
bert_standalone	0,16377087325307316	0,13792597278680707	-	0,0538626890088989	0,02772448835882524	0,08267595082116885	0,012034614343931493	0,23954008001153348	0,23925048933539395	0,25746757415105215	0,242777451611232	0,20403423408284982	0,2593911182630648	0,26336904319426313	0,20933629842644974	0,03996838062912311
bert_vulic	0,19583223634393487	0,2140549820882166	0,05386270269762827	-	0,08062753414735091	0,09939489886731734	0,055541377504521705	0,19548697895479772	0,19471579215255097	0,23323249544526814	0,20167475657334122	0,19684544161912054	0,21031248411678372	0,2203234826199555	0,1942123337494912	0,07426895818249024
mbert_context_last_layer	0,1475428937797627	0,11693444444293744	0,027724591372913943	0,08062752402197937	-	0,04531283782753326	0,03002296102685953	0,1898737875069212	0,18841014391804112	0,24540091400188824	0,19631300523378914	0,17204741548333424	0,21228311585549464	0,21584143846124282	0,18014539346266611	0,01000718114427901
